Номенклатура.Артикул;Остаток
8.8992;17
8.8994;1
8.9023;1
8.907;30
8.9071;70
8.9089;4
8.9098;1
8.911;2
8.9128;17
8.913;6
8.9131;4
8.9162;4
8.9172;66
8.9175;3
8.9176;7
8.9177;1
8.9178;10
8.9211;4
8.9213;1
8.9234;1
8.9244;2
8.9245;1
8.9321;1
8.9322;1
8.9763;2
840.1000102;4
840.1000102-Р1;1
840.1000104;1
840.1000104-Р1;9
840.1002406;26
840.1003212-30;188
840.1005115-11;1
840.1005186;3
840.1005193;2
840.1005194-10;9
840.1005674;1
840.1006015;3
840.1007027;8
840.1007028;104
840.1007118;1
840.1008027;10
840.1012083-10;25
840.1012083-20;3
840.1013620-10;4
840.1029274-10;15
840.1104361-10;20
840.110805;2
8401.1004020-01;50
8401.1004022;40
8401.1004118;39
8401.1008025;1
8401.1008027;3
8401.1008131;2
8401.1118206-20;6
8401.1118221-20;2
8401.1303280-10;2
8421.1004002;21
845.100905;1
845.1009059;1
850.1001017;2
850.100229;1
850.1005043;12
850.100905;10
850.100913;1
850.1011014-01;2
850.1011293;2
850.1013600-01;1
850.1104382;1
850.1104384-01;1
850.1115021;1
850.1307010-01;1
850.17146;1
8502.1005115;1
9.0404;10
9.1191;15
9.1192;1
9.1193;4
9.1194;1
9.1195;2
9.1196;2
9.1263;4
АД-100.1308012;1
ЧР-11111;1
15-1601092;1
15-1601129;6
151-1601090-10;6
161-1601130;10
201-1721180-50;2
201-1721334;50
202-1721157-40;3
202-1721325-40;7
202-1721330-50;20
202-1721350-40;3
202-1721386;2
236-1011014-В3;28
236-1011363-Б2;2
236-1307010-А3;11
236-1601180-Б2;16
238-1601130-Б;7
238-1601131;9
238-1701082;1
238-1701122;4
238-1701140;4
238-1701280;2
2381-1700004-36;1
23811-1721168-20;1
238АК-1307010;10
238К-1721240-01;4
238М-1701048;2
238М-1701050;1
238М-1701078;1
238М-1701112;1
238М-1701282;3
238М-1721240-30;1
238М-1721252;2
239-1721005;1
239-1721168-10;4
240-1003014-Е2;63
240-1011014-Б;20
240-1029326;13
240-1029330-Б;5
240-1029336;2
240-1307010-А1;31
240Б-1011363-А;1
240Н-1011014-Б;15
240Н-1011048;3
240Н-1011092;5
240Н-1011268-Б;2
241-1307010-А1;1
310236-П29;5
312570-П29;1
840-1003010-25;14
840-1005062-01;21
840-1005128;13
840-1007140-01;8
840-1007174-02;12
840-1007176-02;17
840-1007180;4
840-1112163;2
8401-1004008-01;1
8401-1004008-05;20
841-1008029;1
841-1303160-10;1
841-1303240;1
841-1303256-01;1
841-1308110;5
841-3701790;1
842-1002012-20;1
842-1005125-20;1
842-1006010-10;2
842-1013600-13;3
842-1022815;2
842-1104370-10;1
842-1104382-10;1
842-1307155;4
8421-1005007;2
8421-1008344-20;1
8421-1011014;18
8421-1011400-01;1
8421-1104410;1
8421-1118220;2
8421-1118230;1
8423-1008025;2
8423-1008026;2
8423-1008029;1
8423-1008030;1
8423-1008042-10;2
8423-1008043-10;1
