art;pr
850.1009050;562.42
240-1009051-Б;319.64
840.1009051;129.32
240-1009054;111.02
240-1009059;512.4
840.1009059;1179.74
845.1009059;1038.22
850.1009059;768.6
240-1009062;189.1
850.1009067;357.46
240-1009073-В;1795.84
240-1009096;53.68
845.1009124;101.25999999999999
850.1009130;3580.7
850.1009133;3773.46
840.1009135;2077.66
840.1009146;1167.54
840.1009158;1503.04
850.1009166;289.14
238Ф-1009190;358.68
850.1009236;2178.92
236-1011008;11464.34
236-1011014-Г;10496.88
238НД-1011014-Б;10410.26
65801.1011014;21374.399999999998
7511.1011014-01;9564.8
8401.1011014-12;18788
850.1011014-01;16312.619999999999
855.1011014;15457.4
7511.1011015-10;3071.96
850.1011015-10;10794.56
7511.1011018-10;3071.96
8401.1011018-30;5862.099999999999
850.1011018-10;9472.08
236-1011019-Г;1711.6599999999999
238Б-1011019-Б;1745.82
850.1011019-10;4601.84
7511.1011030;2282.62
8401.1011032-10;3317.18
236-1011034;137.85999999999999
238Б-1011034;147.62
240-1011034;231.79999999999998
840.1011034;302.56
206В-1011037;56.12
7511.1011040;2554.68
8401.1011045-10;3957.68
238Б-1011048;3291.56
240-1011055;550.22
236-1011056-А;2771.84
238Б-1011056;4215.099999999999
238Б-1011065;315.98
206Д-1011066;31.72
238Б-1011067;1756.8
238Б-1011069;1880.02
240-1011071-Б;710.04
236-1011073;195.2
240-1011085;141.52
850.1011089;544.12
238Б-1011098;943.06
236-1011098-В;441.64
240-1011118;190.32
840.1011120;114.67999999999999
840.1011134;53.68
236-1011206;369.65999999999997
236-1011208-В;1518.8999999999999
840.1011230;4127.26
840.1011240;5072.76
850.1011240;6209.8
236-1011292-Г2;540.46
238В-1011292;540.46
850.1011292;1051.6399999999999
236-1011293-А;429.44
236-1011293-Б;429.44
238Б-1011293;978.4399999999999
240Н-1011293;613.66
236-1011294;230.57999999999998
236-1011294-Б;189.1
236-1011294-В;218.38
238Б-1011294;780.8
840.1011294;254.98
240Н-1011297;768.6
238Ф-1011300-А;315.98
236-1011302;147.62
238НД-1011302;159.82
204А-1011310-В;315.98
204А-1011318-Б;78.08
236-1011320;189.1
840.1011320;103.7
236-1011322;52.46
840.1011322;52.46
240Б-1011334;117.12
238Б-1011350-Б;2710.84
240Н-1011350;2527.84
840.1011350;1717.76
850.1011350;1089.46
240-1011351;1056.52
240Н-1011351;988.1999999999999
236-1011352-В;253.76
236-1011352-Г;195.2
236-1011356-Б2;190.32
240Н-1011356;200.07999999999998
850.1011358;111.02
236-1011363-В;2258.22
238НД-1011363;1826.34
840.1011364;189.1
236-1011365-Г;1575.02
204-1011370-Б;161.04
204-1011371;28.06
850.1011378;174.46
236-1011380;61
240-1011380;48.8
840.1011380;20.74
1105.1701428-01;1515.24
1105.1701428-02;1515.24
1105.1701428;1515.24
840.1011381;98.82
850.1011381;98.82
236-1011398-В2;2105.72
236-1011398-Г;2120.36
236-1011398-Д;2108.16
236А-1011398;2048.38
238-1011398-В2;2377.7799999999997
238В-1011398-Б4;2480.2599999999998
238Ф-1011398-А3;2392.42
236-1011399-В;1961.76
236А-1011399;1876.36
236-1011400-Е;1478.6399999999999
236-1011400-Ж;1449.36
238-1011400-Г2;1459.12
238В-1011400-Г;1644.56
238Ф-1011400-В2;1930.04
240-1011400-А;1814.1399999999999
240Б-1011400-А;1628.7
840.1011400-10;2011.78
240-1011406-Б;1221.22
240Н-1011406-Б;1184.62
240Н-1011407-Б;1205.36
240-1011418;2092.2999999999997
240Б-1011418;1959.32
236-1011420-В;1089.46
236-1011420-Г;1177.3
240-1011420;1263.92
240Н-1011420-А;1346.8799999999999
236Н-1011425;2598.6
238Н-1011425-В;3230.56
236Н-1011426;2203.32
238Н-1011426-В;3017.06
236Н-1011427;2174.04
238Н-1011427-В;2774.2799999999997
238Н-1011428-В;2952.4
238Н-1011432;261.08
240Н-1011439;834.48
7511.1011440;751.52
7511.1011442;702.72
240Н-1011445;1244.3999999999999
7511.1011445;994.3
238Н-1011447;544.12
238Н-1011520-Б;1244.3999999999999
840.1011538;1537.2
850.1011538;2111.82
658.1012010;5603.46
840.1012010-12;27331.66
840.1012010-21;28057.559999999998
850.1012010;37750.46
8502.1012010;38419.02
658.1012020;2913.36
236-1012027-А2;764.9399999999999
840.1012046-20;223.26
236-1012067;230.57999999999998
238Б-1012076-Б2;6142.7
840.1012076-21;5544.9
840.1012077-22;3318.4
238Б-1012078-Б2;3325.72
840.1012078-31;3369.64
840.1012117-60;1666.52
850.1012200;4646.98
8401.1012504;359.9
850.1012504;313.54
7511.1013004;55774.74
7601.1013004;36852.54
7601.1013004-10;42826.88
840.1013600-30;57907.299999999996
840.1013600-40;76278.06
840.1013600-50;81909.58
845.1013600;80401.66
850.1013600-01;85285.31999999999
840.1013620-10;29231.2
840.1013620-30;30554.899999999998
840.1013622-10;19551.72
236Н-1013630;15.86
840.1013694;2324.1
840.1013708;2598.6
7511.1013732-01;3578.2599999999998
7601.1013732-01;5149.62
7601.1013732-10;1248.06
238Б-1013740;431.88
840.1013900-10;4.88
240-1014094;3143.94
236-1014104;896.6999999999999
240-1014104-Б;867.42
6582.1014142-10;174.46
840.1014142;1801.94
6582.1014145;1625.04
840.1014145;278.15999999999997
240-1014146;1747.04
6582.1014146;1137.04
240-1014147;63.44
840.1014147;57.339999999999996
240-1014148;1017.48
240-1014149-Б;997.9599999999999
840.1014149-10;1695.8
238-1014170;63.44
840.1014180;3075.62
6582.1014200;9029.22
658.1014212;829.6
658.1014216;1034.56
6582.1014216;1049.2
236-1014250;1354.2
236-1014266;547.78
238-1014266;618.54
236НМ-1014272;122
240-1014275;172.02
6582.1014275;439.2
840.1014576;351.36
840.1014576-10;342.82
201-1015624;102.48
