art;pr
332.1111094-10;47.58
332.1111135;163.48
332.1111138;211.06
332.1111172;292.8
332.1111174;223.26
332.1121026;534.36
332.1121066-10;273.28
333.1110040-10;4270
333.1110040-40;3784.44
333.1110128-30;4682.36
333.1110129-31;3779.56
333.1110160-21;3996.72
333.1110160-32.03;3967.44
333.1110160-32.20;3758.8199999999997
333.1110312;270.84
333.1110312-30;258.64
333.1110448-20;115.89999999999999
333.1110462-20;173.24
333.1110515-30;1122.3999999999999
333.1110670-30;1107.76
333.1110700-20;16216.24
333.1110700-30;16216.24
333.1110706;28.06
333.1110708;120.78
333.1110710-30;8021.5
333.1110712-20;3775.9
333.1110714-30;4054.06
333.1110719;195.2
333.1110720-20;1894.6599999999999
333.1110732-31;2816.98
333.1110733;212.28
333.1110740;1167.54
333.1110750-01;858.88
333.1110755;164.7
333.1110984;192.76
333.1121016;883.28
333.1121020;2594.94
333.1121027;311.09999999999997
333.1121040;3053.66
333.1121050;2030.08
333.1121052;250.1
333.1121054;1855.62
333.1121056;245.22
333.1121071;108.58
333.1121072;118.34
3331.1110020;3085.38
3331.1110184;433.09999999999997
334.1110160-01;4127.26
334.1110176;90.28
335.1110114-50;245.22
335.1111410;164.7
336.1111039;3883.2599999999998
336.1111039-01;3883.2599999999998
337.1110010-01;35939.979999999996
337.1110114-02;178.12
337.1110973-10;179.34
337.1111020-10;55744.24
337.1111020-12;48582.84
337.1111020-30;48582.84
337.1111039-11;5148.4
337.1111039-11.01;5148.4
337.1111039-21;5054.46
337.1111039-21.01;5054.46
337.1111039-22;5034.94
337.1111039-22.01;5034.94
337.1111039-23.01;5034.94
337.1111041;4201.68
337.1111041-01;4201.68
337.1111041-22.01;5607.12
337.1111055-01;12575.76
337.1111055-20;12307.36
337.1111059-01;4071.14
337.1111066-01;1783.6399999999999
337.1111070-01;1886.12
337.1111070-11;1578.68
337.1111072-01;1526.22
337.1111072-11;1331.02
337.1111074;930.86
337.1111076-01;168.35999999999999
337.1111110-01;1873.92
337.1111114;934.52
337.1111138-03;217.16
