Номенклатура;Остатки
8401.1004045 Шатун в сборе;9
8401.1004052-01 Втулка шатуна (ТМЗ);16
8401.1004118 Форсунка охлаждения поршня;3
8401.1007250 Направляющая толкателей (ТМЗ);12
8401.1030155 Электромагнит заслонки аварийного останова ПЭМ 35.100.02 (12В);3
8401.1030232-03 Заслонка аварийного останова (8401.1030232-04);2
8401.1170220-03 Элемент охлаждающий ОНВ;
8401.1170256-01 Сетка защитная ОНВ;
8401.1303179 Труба;1
8401.3509432-10 Фланец (ТМЗ);
8401.3509436-01 Прокладка фланца;4
840-1000002 Комплект уплотнительных изделий ТМЗ (842-1000002 медь);1
841.1001017-01 Кронштейн передней опоры;
841.1002025 Заглушка масляного канала (ТМЗ);1
841.1002084 Крышка водяной полости;4
841.1002208 Заглушка;3
841.1002314 Прокладка картера маховика;
841.1002323 Заглушка люка ГУР;3
841.1002324 Прокладка;2
841.1002350 Рым;1
841.1002351 Рым;1
841.1011240 Шестерня ведущая привода масляного насоса;2
841.1012010 Фильтр масляный ТМЗ с/о;1
841.1012015 Корпус масляного фильтра с/о (ТМЗ);2
841.1013650-001 Элемент ВМР;
841.1014566 Кляммер;1
841.1117152 Кронштейн фильтра (ТМЗ);3
841.1303088-01 Труба перепускная;
841.1303088-03 Труба перепускная;12
841.1303156 Труба отводящая водяного насоса;2
841.1303160-10 Патрубок (ТМЗ);5
841.1303175 Прокладка патрубка;9
841.1303178-11 Коробка термостатов (ТМЗ);5
841.1303188 Прокладка патрубка;10
841.1303214 Прокладка патрубка;13
841.1303240 Патрубок перепускной трубы;4
841.1303256-01 Муфта;
841.1303256-03 Муфта;11
841.1307159 Прокладка крышки;2
841.1308110 Натяжное устройство (ТМЗ);4
841.1318075 Корпус привода;
841.1318075-10 Корпус привода;
841.1318078 Прокалдка корпуса;6
841.1318088 Корпус в сборе;2
841.1318130 Трубка сливная;2
841.1318130-03 Трубка сливная;10
841.1318131 Кольцо уплотнительное 028-036-46 (силикон);15
841.1318166 Манжета 62х90х10 привода вентилятора (фторкаучук);15
841.1318166 Манжета 62х90х10 привода вентилятора FKM75;50
841.1318166 Манжета 62х90х12 гидромуфты привода вентилятора (рез.);4
841.1318166 Манжета 62х90х12 гидромуфты привода вентилятора (фтор.);
841.1318178-20 Ступица шкива;9
841.1318182-10 Прокладка шкива гидромуфты;5
841.1318196 Патрубок сливной;3
841.1318290 Втулка;14
841.1318292 Втулка;7
841.3701780 Палец;18
841.3701790 Планка генератора;11
842.1002012-20 Блок цилиндров;1
842.1002012-20 Блок цилиндров (б/у, восст.);1
842.1005125-20 Обод маховика (ТМЗ);1
842.1006010-10 Вал распределительный с шестерней в сборе;
842.1009072 Прокладка картера масляного ТМЗ (пробка);2
842.1009072-05 Прокладка картера масляного;5
842.1011293 Фланец;1
842.1011350-11 Труба отводящая;2
842.1011415 Фланец;2
842.1013002 Р/к заглушек ВМР ТМЗ (резина);5
842.1013600-13 Радиатор масляный;7
842.1013600-13 Радиатор масляный (ТМЗ);1
842.1013700 Сетка защитная ВМР;25
842.1013708-02 Крышка задняя в сборе (ТМЗ);2
842.1013714-02 Штуцер;
842.1029175-20 Корпус заднего подшипника;
842.1029286 Полумуфта ведомая;3
842.1029584 Шестерня ведомая;1
