art;sto
DP610800050050;61
DP610800050085;23
DP610800050086;62
DP610800060397;69
DP610800060494;85
DP610800060649;39
DP610800080002;48
DP610800110554;816
DP611600050047;60
DP611600050048;60
DP611600060025;32
DP612600020208;6
DP612600040355;30
DP612600061332;14
DP612630020051;5
DP612630030127;12
DP612630040007;3719
DP612630050001;103
DP612630050002;32
DP612630060489;25
DP612630060836;13
DP612630060838;16
DP612630060881;120
DP612630060972;168
DP612630060973;80
DP612630061099;14
DP612630061100;139
DP612630090004;78
DP612640020020;1
DP650-1000102;260
DP650-1000104;95
DP650-1001020;452
DP650-1003016;315
DP650-1003017;302
DP650-1003108;133
DP650-1003110;20
DP650-1003112;549
DP650-1003114;40
DP650-1003210;292
DP650-1003256;11
DP650-1003270;213
DP650-1003540;343
DP650-1004013;77
DP650-1004022;1564
DP650-1004045-01;38
DP650-1004045-02;2
DP650-1004045-03;2
DP650-1004118;12
DP650-1005033;71
DP650-1005118;23
DP650-1005157;125
DP650-1005161;73
DP650-1005193;88
DP650-1005194;104
DP650-1006037;112
DP650-1007008;424
DP650-1007012;354
DP650-1007032;1314
DP650-1007033;1074
DP650-1007176;109
DP650-1007180;735
DP650-1007205;81
DP650-1007211;163
DP650-1008027;129
DP650-1009040;30
DP650-1009077;864
DP650-1013600;11
DP650-1013600-01;14
DP650-1013620;517
DP650-1013650;15
DP650-1013652;392
DP650-1028101;195
DP650-1106210;21
DP650-1111674;193
DP650-1112154;518
DP650-1112230;26
DP650-1118010;1
DP650-1118158;371
DP650-1118220;153
DP650-1118340;117
DP650-1130540;61
DP650-1130552;62
DP650-1203020;330
DP650-1303150;61
DP650-1306100;83
DP650-1307013;102
DP650-1307013-01;44
DP650-1308010;3
DP650-1308012;20
DP650-1308025;11
DP650-1308110;93
DP650-2000005-01/02;7
DP650-3408153;89
DP650-3509280;47
DP650-3701010;2
DP650-3701715;38
DP650-3708010;10
DP650-8114110;18
DP651-1004002;219
DP651-1004005;21
DP651-1004013;60
